time	V(b0)	V(b1)	V(mosi)
4.930157596887005e-005	1.611907e-006	4.997546e+000	0.000000e+000
4.940758420378500e-005	1.666851e-006	4.997953e+000	0.000000e+000
4.951359243869995e-005	1.714723e-006	4.998373e+000	0.000000e+000
4.961960067361491e-005	1.755524e-006	4.998808e+000	0.000000e+000
4.972560890852986e-005	1.789252e-006	4.999256e+000	0.000000e+000
4.983161714344482e-005	1.815909e-006	4.999718e+000	0.000000e+000
5.000000000000000e-005	1.834407e-006	5.000451e+000	0.000000e+000
5.000100000000000e-005	1.837133e-006	5.000456e+000	0.000000e+000
5.000101250000000e-005	-6.545790e-006	5.000453e+000	0.000000e+000
5.000103750000000e-005	-2.627504e-005	5.000448e+000	0.000000e+000
5.000104375000000e-005	-3.235192e-005	5.000447e+000	0.000000e+000
5.000105625000000e-005	-4.697332e-005	5.000444e+000	0.000000e+000
5.000108125000000e-005	-7.911376e-005	5.000439e+000	0.000000e+000
5.000108750000000e-005	-8.789010e-005	5.000438e+000	0.000000e+000
5.000110000000000e-005	-1.068697e-004	5.000436e+000	0.000000e+000
5.000112500000000e-005	-1.472208e-004	5.000428e+000	0.000000e+000
5.000117500000000e-005	-2.307983e-004	5.000397e+000	0.000000e+000
5.000123443941532e-005	-3.286444e-004	5.000344e+000	0.000000e+000
5.000124448725674e-005	-3.438219e-004	5.000333e+000	0.000000e+000
5.000126458293957e-005	-3.714572e-004	5.000310e+000	0.000000e+000
5.000126960686028e-005	-3.778783e-004	5.000304e+000	0.000000e+000
5.000127965470170e-005	-3.893992e-004	5.000293e+000	0.000000e+000
5.000129975038453e-005	-4.082279e-004	5.000269e+000	0.000000e+000
5.000133994175020e-005	-4.304275e-004	5.000221e+000	0.000000e+000
5.000140594605722e-005	-4.355351e-004	5.000141e+000	0.000000e+000
5.000148564050756e-005	-4.045923e-004	5.000044e+000	0.000000e+000
5.000156820804816e-005	-3.315028e-004	4.999941e+000	0.000000e+000
5.000166541583642e-005	-1.904023e-004	4.999819e+000	0.000000e+000
5.000175962314834e-005	-7.596668e-006	4.999699e+000	0.000000e+000
5.000176947806748e-005	1.572974e-005	4.999686e+000	0.000000e+000
5.000178918790575e-005	6.920076e-005	4.999660e+000	0.000000e+000
5.000182860758231e-005	1.887022e-004	4.999607e+000	0.000000e+000
5.000187829437797e-005	3.673872e-004	4.999537e+000	0.000000e+000
5.000192391008232e-005	5.632282e-004	4.999473e+000	0.000000e+000
5.000193630621211e-005	6.274731e-004	4.999455e+000	0.000000e+000
5.000196109847169e-005	7.738401e-004	4.999420e+000	0.000000e+000
5.000196698286854e-005	8.115644e-004	4.999412e+000	0.000000e+000
5.000197875166224e-005	8.931920e-004	4.999397e+000	0.000000e+000
5.000199999999999e-005	1.046235e-003	4.999371e+000	0.000000e+000
5.000200212483377e-005	1.063487e-003	4.999370e+000	0.000000e+000
5.000200637450132e-005	1.097990e-003	4.999369e+000	0.000000e+000
5.000201487383643e-005	1.166960e-003	4.999367e+000	0.000000e+000
5.000203187250664e-005	1.304491e-003	4.999367e+000	0.000000e+000
5.000206014690771e-005	1.531066e-003	4.999368e+000	0.000000e+000
5.000209901601862e-005	1.834447e-003	4.999372e+000	0.000000e+000
5.000216156091941e-005	2.292010e-003	4.999377e+000	0.000000e+000
5.000224877174703e-005	2.855006e-003	4.999382e+000	0.000000e+000
5.000233867480898e-005	3.336444e-003	4.999384e+000	0.000000e+000
5.000240927675695e-005	3.635681e-003	4.999386e+000	0.000000e+000
5.000248121732003e-005	3.876401e-003	4.999388e+000	0.000000e+000
5.000254899563889e-005	4.059023e-003	4.999389e+000	0.000000e+000
5.000262647098469e-005	4.225271e-003	4.999390e+000	0.000000e+000
5.000270873861826e-005	4.356488e-003	4.999392e+000	0.000000e+000
5.000287327388541e-005	4.533343e-003	4.999393e+000	0.000000e+000
5.000306846448868e-005	4.659384e-003	4.999396e+000	0.000000e+000
5.000336022052381e-005	4.752004e-003	4.999399e+000	0.000000e+000
5.000368952605706e-005	4.789888e-003	4.999403e+000	0.000000e+000
5.000418850225261e-005	4.785152e-003	4.999408e+000	0.000000e+000
5.000482055344049e-005	4.736125e-003	4.999414e+000	0.000000e+000
5.000581456366975e-005	4.621138e-003	4.999424e+000	0.000000e+000
5.000713868982955e-005	4.445939e-003	4.999436e+000	0.000000e+000
5.000929133852552e-005	4.153553e-003	4.999457e+000	0.000000e+000
5.001243729799578e-005	3.749024e-003	4.999486e+000	0.000000e+000
5.001782056065364e-005	3.143393e-003	4.999536e+000	0.000000e+000
5.002643354744804e-005	2.363989e-003	4.999611e+000	0.000000e+000
5.003751577186710e-005	1.615745e-003	4.999701e+000	0.000000e+000
5.004819407452957e-005	1.108126e-003	4.999783e+000	0.000000e+000
5.005875533373192e-005	7.660364e-004	4.999860e+000	0.000000e+000
5.007006271288075e-005	5.163496e-004	4.999949e+000	0.000000e+000
5.008098365784659e-005	3.520125e-004	5.000059e+000	0.000000e+000
5.009143674102322e-005	2.450173e-004	5.000194e+000	0.000000e+000
5.010152736118753e-005	1.762355e-004	5.000335e+000	0.000000e+000
5.011754473106730e-005	1.063781e-004	5.000497e+000	0.000000e+000
5.013475013341502e-005	6.031710e-005	5.000532e+000	0.000000e+000
5.015339929658610e-005	3.287885e-005	5.000424e+000	0.000000e+000
5.017928655860209e-005	1.419457e-005	5.000217e+000	0.000000e+000
5.021128043830524e-005	5.211675e-006	5.000049e+000	0.000000e+000
5.025922074750150e-005	2.033948e-006	4.999959e+000	0.000000e+000
5.034764761054214e-005	1.428930e-006	4.999944e+000	0.000000e+000
5.045718631574690e-005	1.436226e-006	4.999979e+000	0.000000e+000
5.055424835541458e-005	1.414519e-006	5.000014e+000	0.000000e+000
5.065866580791099e-005	1.379686e-006	5.000041e+000	0.000000e+000
5.076948352343472e-005	1.338101e-006	5.000059e+000	0.000000e+000
5.095355785428537e-005	1.258726e-006	5.000073e+000	0.000000e+000
5.120323627683125e-005	1.135088e-006	5.000080e+000	0.000000e+000
5.131021168875480e-005	1.062767e-006	5.000079e+000	0.000000e+000
5.138714648227781e-005	9.860332e-007	5.000076e+000	0.000000e+000
5.148753835032586e-005	8.684045e-007	5.000069e+000	0.000000e+000
5.158118789548241e-005	7.739435e-007	5.000062e+000	0.000000e+000
5.175676597157399e-005	6.452295e-007	5.000050e+000	0.000000e+000
5.192065578820701e-005	5.592901e-007	5.000041e+000	0.000000e+000
5.220211335194783e-005	4.469951e-007	5.000030e+000	0.000000e+000
5.235428653785700e-005	3.956099e-007	5.000025e+000	0.000000e+000
